数据表,字段名,数据类型,是否有获取,说明,PK,NOT NULL,UNIQUE,DEFAULT,FK,CHECK,备注,父记录
category_industry,category_id,BIGINT,,行业分类唯一标识,1,1,,,,,AUTO_INCREMENT,行业分类表
category_industry,category_name,VARCHAR(255),,行业分类名称,,1,,,,,,行业分类表
category_industry,category_level,TINYINT,,行业分类层级（0-3 级）,,1,,,,(`category_level` between 0 and 3),,行业分类表
category_industry,category_level_code,VARCHAR(255),,行业分类层级编码,,1,1,,,,,行业分类表
category_industry,category_level_code_parent,VARCHAR(255),,行业分类层级编码（父级）,,,,,,,,行业分类表
category_industry,field_belong,TINYINT,,所属领域（1:数字医疗，2:康养）,,1,,,,"(`field_belong` in (1,2))",,行业分类表
category_industry,sort_order,INT,,排序序号,,1,,0,,(`sort_order` >= 0),,行业分类表
category_industry_company_map,category_industry_company_map_id,BIGINT,,映射唯一标识,1,1,,,,,AUTO_INCREMENT,行业分类与企业映射表
category_industry_company_map,category_id,BIGINT,,行业分类唯一标识,,1,,,category_industry.category_id,,,行业分类与企业映射表
category_industry_company_map,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,行业分类与企业映射表
chain_industry,chain_id,BIGINT,,产业链节点唯一标识,1,1,,,,,AUTO_INCREMENT,产业链节点表
chain_industry,chain_name,VARCHAR(255),,产业链节点名称,,1,1,,,,,产业链节点表
chain_industry,chain_des,VARCHAR(255),,产业链节点简述,,,,,,,,产业链节点表
chain_industry_category_industry_map,chain_industry_category_industry_map_id,BIGINT,,映射唯一标识,1,1,,,,,AUTO_INCREMENT,产业链节点与行业分类映射表
chain_industry_category_industry_map,chain_id,BIGINT,,产业链节点唯一标识,,1,,,chain_industry.chain_id,,,产业链节点与行业分类映射表
chain_industry_category_industry_map,category_id,BIGINT,,行业分类唯一标识,,1,,,category_industry.category_id,,,产业链节点与行业分类映射表
company_address,company_address_id,BIGINT,,企业地址记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业地址信息表
